workload,ops,goroutines,depth,bufsize,blockprofilerate,run,ms
mutex,100000,12,16,0,0,1,29.481743
mutex,100000,12,16,0,0,2,64.981968
mutex,100000,12,16,0,0,3,71.225005
mutex,100000,12,16,0,0,4,26.598263
mutex,100000,12,16,0,0,5,71.346102
mutex,100000,12,16,0,0,6,66.791153
mutex,100000,12,16,0,0,7,53.891499
mutex,100000,12,16,0,0,8,26.243254
mutex,100000,12,16,0,0,9,27.321912
mutex,100000,12,16,0,0,10,64.837004
mutex,100000,12,16,0,0,11,28.869833
mutex,100000,12,16,0,0,12,70.419986
mutex,100000,12,16,0,0,13,26.800051
mutex,100000,12,16,0,0,14,28.762552
mutex,100000,12,16,0,0,15,68.862563
mutex,100000,12,16,0,0,16,28.268888
mutex,100000,12,16,0,0,17,67.820938
mutex,100000,12,16,0,0,18,60.191464
mutex,100000,12,16,0,0,19,61.489725
mutex,100000,12,16,0,0,20,64.336018
mutex,100000,12,16,0,1,1,27.558063
mutex,100000,12,16,0,1,2,28.563366
mutex,100000,12,16,0,1,3,50.521958
mutex,100000,12,16,0,1,4,65.939789
mutex,100000,12,16,0,1,5,71.292054
mutex,100000,12,16,0,1,6,28.796405
mutex,100000,12,16,0,1,7,65.823001
mutex,100000,12,16,0,1,8,65.036006
mutex,100000,12,16,0,1,9,67.493915
mutex,100000,12,16,0,1,10,28.195525
mutex,100000,12,16,0,1,11,26.548047
mutex,100000,12,16,0,1,12,25.734542
mutex,100000,12,16,0,1,13,59.190937
mutex,100000,12,16,0,1,14,26.707277
mutex,100000,12,16,0,1,15,58.322326
mutex,100000,12,16,0,1,16,25.314789
mutex,100000,12,16,0,1,17,26.117217
mutex,100000,12,16,0,1,18,27.588631
mutex,100000,12,16,0,1,19,63.444914
mutex,100000,12,16,0,1,20,26.786655
mutex,100000,12,16,0,10,1,71.042121
mutex,100000,12,16,0,10,2,27.277524
mutex,100000,12,16,0,10,3,72.126652
mutex,100000,12,16,0,10,4,63.780772
mutex,100000,12,16,0,10,5,68.194342
mutex,100000,12,16,0,10,6,72.069938
mutex,100000,12,16,0,10,7,73.937514
mutex,100000,12,16,0,10,8,65.037730
mutex,100000,12,16,0,10,9,58.584139
mutex,100000,12,16,0,10,10,29.730974
mutex,100000,12,16,0,10,11,62.620640
mutex,100000,12,16,0,10,12,72.795449
mutex,100000,12,16,0,10,13,72.485216
mutex,100000,12,16,0,10,14,59.744647
mutex,100000,12,16,0,10,15,26.081060
mutex,100000,12,16,0,10,16,60.495572
mutex,100000,12,16,0,10,17,60.215881
mutex,100000,12,16,0,10,18,31.849261
mutex,100000,12,16,0,10,19,29.160064
mutex,100000,12,16,0,10,20,63.503005
mutex,100000,12,16,0,100,1,71.726513
mutex,100000,12,16,0,100,2,57.622091
mutex,100000,12,16,0,100,3,58.015099
mutex,100000,12,16,0,100,4,31.634526
mutex,100000,12,16,0,100,5,66.408900
mutex,100000,12,16,0,100,6,30.377659
mutex,100000,12,16,0,100,7,59.121475
mutex,100000,12,16,0,100,8,73.506908
mutex,100000,12,16,0,100,9,64.437938
mutex,100000,12,16,0,100,10,29.725171
mutex,100000,12,16,0,100,11,30.907742
mutex,100000,12,16,0,100,12,68.262835
mutex,100000,12,16,0,100,13,29.043563
mutex,100000,12,16,0,100,14,27.501299
mutex,100000,12,16,0,100,15,30.521881
mutex,100000,12,16,0,100,16,28.460338
mutex,100000,12,16,0,100,17,63.495574
mutex,100000,12,16,0,100,18,69.051772
mutex,100000,12,16,0,100,19,29.098613
mutex,100000,12,16,0,100,20,60.169193
mutex,100000,12,16,0,1000,1,26.423443
mutex,100000,12,16,0,1000,2,66.274035
mutex,100000,12,16,0,1000,3,59.944920
mutex,100000,12,16,0,1000,4,28.083331
mutex,100000,12,16,0,1000,5,25.816190
mutex,100000,12,16,0,1000,6,73.379577
mutex,100000,12,16,0,1000,7,64.675522
mutex,100000,12,16,0,1000,8,72.039504
mutex,100000,12,16,0,1000,9,55.506850
mutex,100000,12,16,0,1000,10,62.174605
mutex,100000,12,16,0,1000,11,28.170245
mutex,100000,12,16,0,1000,12,59.736674
mutex,100000,12,16,0,1000,13,24.913284
mutex,100000,12,16,0,1000,14,28.439871
mutex,100000,12,16,0,1000,15,28.219737
mutex,100000,12,16,0,1000,16,63.872810
mutex,100000,12,16,0,1000,17,26.118665
mutex,100000,12,16,0,1000,18,28.458278
mutex,100000,12,16,0,1000,19,31.192746
mutex,100000,12,16,0,1000,20,63.194074
mutex,100000,12,16,0,10000,1,72.017871
mutex,100000,12,16,0,10000,2,32.070615
mutex,100000,12,16,0,10000,3,65.879795
mutex,100000,12,16,0,10000,4,73.240304
mutex,100000,12,16,0,10000,5,71.604741
mutex,100000,12,16,0,10000,6,30.864017
mutex,100000,12,16,0,10000,7,27.312588
mutex,100000,12,16,0,10000,8,55.428275
mutex,100000,12,16,0,10000,9,29.863193
mutex,100000,12,16,0,10000,10,62.445045
mutex,100000,12,16,0,10000,11,31.034914
mutex,100000,12,16,0,10000,12,64.872970
mutex,100000,12,16,0,10000,13,58.913241
mutex,100000,12,16,0,10000,14,58.598699
mutex,100000,12,16,0,10000,15,70.741212
mutex,100000,12,16,0,10000,16,66.813533
mutex,100000,12,16,0,10000,17,66.032206
mutex,100000,12,16,0,10000,18,26.937012
mutex,100000,12,16,0,10000,19,28.771020
mutex,100000,12,16,0,10000,20,59.246006
mutex,100000,12,16,0,100000,1,58.438973
mutex,100000,12,16,0,100000,2,28.344261
mutex,100000,12,16,0,100000,3,66.366290
mutex,100000,12,16,0,100000,4,63.088012
mutex,100000,12,16,0,100000,5,27.520340
mutex,100000,12,16,0,100000,6,72.498758
mutex,100000,12,16,0,100000,7,67.071729
mutex,100000,12,16,0,100000,8,30.131328
mutex,100000,12,16,0,100000,9,63.015351
mutex,100000,12,16,0,100000,10,33.043251
mutex,100000,12,16,0,100000,11,64.143913
mutex,100000,12,16,0,100000,12,67.067522
mutex,100000,12,16,0,100000,13,60.432242
mutex,100000,12,16,0,100000,14,63.022069
mutex,100000,12,16,0,100000,15,64.538390
mutex,100000,12,16,0,100000,16,27.867195
mutex,100000,12,16,0,100000,17,72.362911
mutex,100000,12,16,0,100000,18,26.452086
mutex,100000,12,16,0,100000,19,66.605488
mutex,100000,12,16,0,100000,20,63.807097
mutex,100000,12,16,0,1000000,1,27.033758
mutex,100000,12,16,0,1000000,2,27.104375
mutex,100000,12,16,0,1000000,3,26.815605
mutex,100000,12,16,0,1000000,4,25.426914
mutex,100000,12,16,0,1000000,5,67.344479
mutex,100000,12,16,0,1000000,6,30.980156
mutex,100000,12,16,0,1000000,7,23.556894
mutex,100000,12,16,0,1000000,8,73.733067
mutex,100000,12,16,0,1000000,9,63.433615
mutex,100000,12,16,0,1000000,10,64.449509
mutex,100000,12,16,0,1000000,11,71.791497
mutex,100000,12,16,0,1000000,12,67.163511
mutex,100000,12,16,0,1000000,13,58.351679
mutex,100000,12,16,0,1000000,14,63.490895
mutex,100000,12,16,0,1000000,15,28.531682
mutex,100000,12,16,0,1000000,16,64.597486
mutex,100000,12,16,0,1000000,17,49.142636
mutex,100000,12,16,0,1000000,18,59.347744
mutex,100000,12,16,0,1000000,19,31.366228
mutex,100000,12,16,0,1000000,20,53.857935
chan,100000,12,16,0,0,1,38.387267
chan,100000,12,16,0,0,2,40.695511
chan,100000,12,16,0,0,3,38.056451
chan,100000,12,16,0,0,4,39.189503
chan,100000,12,16,0,0,5,38.115559
chan,100000,12,16,0,0,6,38.914512
chan,100000,12,16,0,0,7,39.186242
chan,100000,12,16,0,0,8,39.682891
chan,100000,12,16,0,0,9,38.529525
chan,100000,12,16,0,0,10,39.661419
chan,100000,12,16,0,0,11,38.460034
chan,100000,12,16,0,0,12,37.538272
chan,100000,12,16,0,0,13,39.090518
chan,100000,12,16,0,0,14,38.287916
chan,100000,12,16,0,0,15,37.840507
chan,100000,12,16,0,0,16,37.050349
chan,100000,12,16,0,0,17,38.259165
chan,100000,12,16,0,0,18,38.648823
chan,100000,12,16,0,0,19,37.956488
chan,100000,12,16,0,0,20,39.368274
chan,100000,12,16,0,1,1,244.806220
chan,100000,12,16,0,1,2,246.192186
chan,100000,12,16,0,1,3,241.355633
chan,100000,12,16,0,1,4,229.670182
chan,100000,12,16,0,1,5,231.743736
chan,100000,12,16,0,1,6,225.936607
chan,100000,12,16,0,1,7,229.870824
chan,100000,12,16,0,1,8,226.309670
chan,100000,12,16,0,1,9,224.064423
chan,100000,12,16,0,1,10,227.456036
chan,100000,12,16,0,1,11,234.299575
chan,100000,12,16,0,1,12,226.880804
chan,100000,12,16,0,1,13,241.609452
chan,100000,12,16,0,1,14,228.660942
chan,100000,12,16,0,1,15,224.780078
chan,100000,12,16,0,1,16,236.069193
chan,100000,12,16,0,1,17,230.071870
chan,100000,12,16,0,1,18,280.321086
chan,100000,12,16,0,1,19,269.781991
chan,100000,12,16,0,1,20,249.190878
chan,100000,12,16,0,10,1,238.110352
chan,100000,12,16,0,10,2,229.389375
chan,100000,12,16,0,10,3,225.675144
chan,100000,12,16,0,10,4,226.683700
chan,100000,12,16,0,10,5,237.703337
chan,100000,12,16,0,10,6,255.762598
chan,100000,12,16,0,10,7,256.385529
chan,100000,12,16,0,10,8,257.469304
chan,100000,12,16,0,10,9,261.668805
chan,100000,12,16,0,10,10,262.550158
chan,100000,12,16,0,10,11,261.757166
chan,100000,12,16,0,10,12,262.076885
chan,100000,12,16,0,10,13,266.594681
chan,100000,12,16,0,10,14,263.436482
chan,100000,12,16,0,10,15,262.448672
chan,100000,12,16,0,10,16,277.893995
chan,100000,12,16,0,10,17,316.660741
chan,100000,12,16,0,10,18,311.421503
chan,100000,12,16,0,10,19,291.090037
chan,100000,12,16,0,10,20,280.623411
chan,100000,12,16,0,100,1,254.239375
chan,100000,12,16,0,100,2,255.349522
chan,100000,12,16,0,100,3,249.129865
chan,100000,12,16,0,100,4,245.681468
chan,100000,12,16,0,100,5,252.472325
chan,100000,12,16,0,100,6,245.742830
chan,100000,12,16,0,100,7,250.709971
chan,100000,12,16,0,100,8,252.882372
chan,100000,12,16,0,100,9,261.449803
chan,100000,12,16,0,100,10,247.307216
chan,100000,12,16,0,100,11,247.572719
chan,100000,12,16,0,100,12,246.774401
chan,100000,12,16,0,100,13,250.962889
chan,100000,12,16,0,100,14,253.925071
chan,100000,12,16,0,100,15,312.207967
chan,100000,12,16,0,100,16,281.918065
chan,100000,12,16,0,100,17,269.286340
chan,100000,12,16,0,100,18,274.761704
chan,100000,12,16,0,100,19,251.652914
chan,100000,12,16,0,100,20,263.383980
chan,100000,12,16,0,1000,1,263.065192
chan,100000,12,16,0,1000,2,267.390509
chan,100000,12,16,0,1000,3,271.639800
chan,100000,12,16,0,1000,4,269.317647
chan,100000,12,16,0,1000,5,268.962515
chan,100000,12,16,0,1000,6,254.723124
chan,100000,12,16,0,1000,7,256.705568
chan,100000,12,16,0,1000,8,254.688422
chan,100000,12,16,0,1000,9,258.988341
chan,100000,12,16,0,1000,10,245.354729
chan,100000,12,16,0,1000,11,255.547300
chan,100000,12,16,0,1000,12,263.331642
chan,100000,12,16,0,1000,13,291.946065
chan,100000,12,16,0,1000,14,264.717682
chan,100000,12,16,0,1000,15,262.318736
chan,100000,12,16,0,1000,16,251.711921
chan,100000,12,16,0,1000,17,253.218195
chan,100000,12,16,0,1000,18,246.260765
chan,100000,12,16,0,1000,19,245.117863
chan,100000,12,16,0,1000,20,267.226870
chan,100000,12,16,0,10000,1,51.075551
chan,100000,12,16,0,10000,2,51.945326
chan,100000,12,16,0,10000,3,49.773682
chan,100000,12,16,0,10000,4,52.947988
chan,100000,12,16,0,10000,5,50.086055
chan,100000,12,16,0,10000,6,51.183972
chan,100000,12,16,0,10000,7,52.613085
chan,100000,12,16,0,10000,8,51.612973
chan,100000,12,16,0,10000,9,50.982747
chan,100000,12,16,0,10000,10,51.144160
chan,100000,12,16,0,10000,11,50.481050
chan,100000,12,16,0,10000,12,52.024088
chan,100000,12,16,0,10000,13,55.720277
chan,100000,12,16,0,10000,14,55.397227
chan,100000,12,16,0,10000,15,52.262806
chan,100000,12,16,0,10000,16,53.152518
chan,100000,12,16,0,10000,17,52.117688
chan,100000,12,16,0,10000,18,50.670164
chan,100000,12,16,0,10000,19,51.055940
chan,100000,12,16,0,10000,20,49.194750
chan,100000,12,16,0,100000,1,44.852664
chan,100000,12,16,0,100000,2,44.510570
chan,100000,12,16,0,100000,3,46.368772
chan,100000,12,16,0,100000,4,46.699490
chan,100000,12,16,0,100000,5,45.633285
chan,100000,12,16,0,100000,6,47.646570
chan,100000,12,16,0,100000,7,44.324716
chan,100000,12,16,0,100000,8,45.521988
chan,100000,12,16,0,100000,9,45.018052
chan,100000,12,16,0,100000,10,44.451747
chan,100000,12,16,0,100000,11,44.483734
chan,100000,12,16,0,100000,12,43.787662
chan,100000,12,16,0,100000,13,43.002091
chan,100000,12,16,0,100000,14,44.294262
chan,100000,12,16,0,100000,15,42.543931
chan,100000,12,16,0,100000,16,46.092728
chan,100000,12,16,0,100000,17,44.517706
chan,100000,12,16,0,100000,18,44.056989
chan,100000,12,16,0,100000,19,44.959703
chan,100000,12,16,0,100000,20,44.537865
chan,100000,12,16,0,1000000,1,43.895615
chan,100000,12,16,0,1000000,2,46.891380
chan,100000,12,16,0,1000000,3,42.973695
chan,100000,12,16,0,1000000,4,43.946141
chan,100000,12,16,0,1000000,5,42.322749
chan,100000,12,16,0,1000000,6,43.043793
chan,100000,12,16,0,1000000,7,43.700733
chan,100000,12,16,0,1000000,8,45.629581
chan,100000,12,16,0,1000000,9,46.633610
chan,100000,12,16,0,1000000,10,43.559333
chan,100000,12,16,0,1000000,11,41.881462
chan,100000,12,16,0,1000000,12,43.293334
chan,100000,12,16,0,1000000,13,42.060830
chan,100000,12,16,0,1000000,14,44.025868
chan,100000,12,16,0,1000000,15,41.839037
chan,100000,12,16,0,1000000,16,42.271828
chan,100000,12,16,0,1000000,17,41.149580
chan,100000,12,16,0,1000000,18,41.767419
chan,100000,12,16,0,1000000,19,42.633534
chan,100000,12,16,0,1000000,20,42.521522
